#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
484,-5527.250977,330882.147404,0.000000,303233.029173,303156.862540,-143909.140455,306203.800780
485,12980.312500,331135.131007,0.000000,303233.029173,303156.862540,-84380.118822,306203.800780
486,13202.748047,331138.163922,0.000000,303233.029173,303156.862540,-101339.186025,306203.800780
487,13271.934570,331139.107246,0.000000,303233.029173,303156.862540,149643.026086,306203.800780
488,14461.728516,331155.326760,0.000000,303233.029173,303156.862540,-17832.823515,306203.800780
489,16493.406250,331183.011078,0.000000,303233.029173,303156.862540,-8964.038943,306203.800780
490,18950.281250,331216.469180,0.000000,303233.029173,303156.862540,-68252.911680,306203.800780
491,22178.892578,331260.403470,0.000000,303233.029173,303156.862540,-18972.501657,306203.800780
492,32623.464844,331402.271131,0.000000,303233.029173,303156.862540,-238483.466249,306203.800780
493,34107.273438,331422.393366,0.000000,303233.029173,303156.862540,131383.291832,306203.800780
494,36140.386719,331449.951836,nan,303233.029173,303156.862540,117506.214816,306203.800780
495,40951.609375,331515.107206,0.000000,303233.029173,303156.862540,265618.304657,306203.800780
496,42599.296875,331537.401468,0.000000,303233.029173,303156.862540,-73794.879697,306203.800780
497,49379.242188,331629.034686,0.000000,303233.029173,303156.862540,109339.509064,306203.800780
498,51573.406250,331658.653802,0.000000,303233.029173,303156.862540,-63265.717829,306203.800780
499,57604.234375,331739.974229,nan,303233.029173,303156.862540,-211285.988477,306203.800780
500,62962.445313,331812.114360,0.000000,303233.029173,303156.862540,-90791.504573,306203.800780
501,64274.941406,331829.769251,0.000000,303233.029173,303156.862540,33769.800861,306203.800780
502,64463.378906,331832.303484,0.000000,303233.029173,303156.862540,128277.696079,306203.800780
503,65116.992188,331841.092714,0.000000,303233.029173,303156.862540,154613.022378,306203.800780
504,67691.773438,331875.701105,0.000000,303233.029173,303156.862540,18861.159759,306203.800780
505,71278.117188,331923.866195,0.000000,303233.029173,303156.862540,-90644.692641,306203.800780
506,75056.585938,331974.561183,0.000000,303233.029173,303156.862540,-34377.302724,306203.800780
507,77603.734375,332008.706631,0.000000,303233.029173,303156.862540,-76133.288335,306203.800780
508,83882.515625,332092.775760,nan,303233.029173,303156.862540,-28140.322804,306203.800780
509,88668.296875,332156.758807,0.000000,303233.029173,303156.862540,-298307.591361,306203.800780
510,92144.656250,332203.183782,0.000000,303233.029173,303156.862540,-80815.211230,306203.800780
511,100445.882813,332313.865873,0.000000,303233.029173,303156.862540,-189970.594305,306203.800780
512,102029.132813,332334.947462,0.000000,303233.029173,303156.862540,-60169.147594,306203.800780
513,102809.054688,332345.329101,0.000000,303233.029173,303156.862540,-131065.949545,306203.800780
