#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
340,-0.001392,337127.866589,0.000000,303251.128623,303156.862540,-66218.944890,306203.800780
341,-0.001341,337026.684868,0.000000,303251.128623,303156.862540,110456.151526,306203.800780
342,-0.001317,336978.597091,0.000000,303251.128623,303156.862540,-33432.701312,306203.800780
343,-0.001313,336970.630695,0.000000,303251.128623,303156.862540,-195248.308026,306203.800780
344,-0.001296,336938.088745,0.000000,303251.128623,303156.862540,26919.341109,306203.800780
345,-0.001267,336880.872156,0.000000,303251.128623,303156.862540,-49620.968439,306203.800780
346,-0.001257,336859.672198,0.000000,303251.128623,303156.862540,67293.378720,306203.800780
347,-0.001250,336847.099833,0.000000,303251.128623,303156.862540,-102051.651783,306203.800780
348,-0.001199,336745.108254,327325.577244,303251.128623,303156.862540,-94339.062571,306203.800780
349,-0.001197,336741.603064,0.000000,303251.128623,303156.862540,-16397.081075,306203.800780
350,-0.001173,336692.828002,0.000000,303251.128623,303156.862540,-174327.758052,306203.800780
351,-0.001141,336630.657562,0.000000,303251.128623,303156.862540,-17571.136998,306203.800780
352,-0.001086,336520.883533,0.000000,303251.128623,303156.862540,-97416.466062,306203.800780
353,-0.001050,336448.944045,0.000000,303251.128623,303156.862540,90114.044901,306203.800780
354,-0.001044,336437.399933,0.000000,303251.128623,303156.862540,143254.510543,306203.800780
355,-0.001029,336406.180400,0.000000,303251.128623,303156.862540,43578.516877,306203.800780
356,-0.000993,336335.363119,0.000000,303251.128623,303156.862540,-125343.088951,306203.800780
357,-0.000971,336291.268076,0.000000,303251.128623,303156.862540,22663.255381,306203.800780
358,-0.000915,336179.399713,0.000000,303251.128623,303156.862540,-55742.233742,306203.800780
359,-0.000891,336131.946921,0.000000,303251.128623,303156.862540,132249.410706,306203.800780
360,-0.000860,336069.607679,0.000000,303251.128623,303156.862540,-61128.281789,306203.800780
361,-0.000859,336067.228619,0.000000,303251.128623,303156.862540,339725.057798,306203.800780
362,-0.000857,336063.334855,327324.498144,303251.128623,303156.862540,-89486.078326,306203.800780
363,-0.000852,336053.630345,0.000000,303251.128623,303156.862540,31268.224642,306203.800780
364,-0.000821,335991.501802,0.000000,303251.128623,303156.862540,88575.204343,306203.800780
365,-0.000807,335962.990347,0.000000,303251.128623,303156.862540,58064.368844,306203.800780
366,-0.000762,335873.830166,0.000000,303251.128623,303156.862540,-54800.858236,306203.800780
367,-0.000736,335820.891453,0.000000,303251.128623,303156.862540,-172946.973202,306203.800780
368,-0.000720,335788.863140,0.000000,303251.128623,303156.862540,239251.297826,306203.800780
369,-0.000719,335787.255850,0.000000,303251.128623,303156.862540,12573.729163,306203.800780
370,-0.000694,335737.168443,0.000000,303251.128623,303156.862540,17516.751400,306203.800780
371,-0.000684,335716.942927,0.000000,303251.128623,303156.862540,21055.211506,306203.800780
372,-0.000680,335709.725371,0.000000,303251.128623,303156.862540,-77192.669403,306203.800780
373,-0.000634,335617.000361,0.000000,303251.128623,303156.862540,-169723.260421,306203.800780
374,-0.000611,335571.378304,0.000000,303251.128623,303156.862540,127727.880142,306203.800780
375,-0.000505,335357.615172,0.000000,303251.128623,303156.862540,-155038.957064,306203.800780
376,-0.000423,335193.307223,0.000000,303251.128623,303156.862540,174614.606913,306203.800780
377,-0.000411,335168.599879,0.000000,303251.128623,303156.862540,-212067.503112,306203.800780
378,-0.000407,335160.637344,327323.079017,303251.128623,303156.862540,21676.766759,306203.800780
379,-0.000389,335124.607403,0.000000,303251.128623,303156.862540,-103379.999563,306203.800780
380,-0.000386,335119.043655,0.000000,303251.128623,303156.862540,111162.353917,306203.800780
381,-0.000348,335040.794038,327322.891430,303251.128623,303156.862540,146932.198508,306203.800780
382,-0.000342,335029.177896,0.000000,303251.128623,303156.862540,-215291.197399,306203.800780
383,-0.000240,334823.169142,0.000000,303251.128623,303156.862540,140289.616518,306203.800780
384,-0.000239,334821.113369,0.000000,303251.128623,303156.862540,51278.255281,306203.800780
385,-0.000238,334820.105106,0.000000,303251.128623,303156.862540,-63542.472427,306203.800780
386,-0.000200,334742.849872,0.000000,303251.128623,303156.862540,11727.205249,306203.800780
387,-0.000190,334723.256437,0.000000,303251.128623,303156.862540,323784.111390,306203.800780
388,-0.000180,334702.614980,0.000000,303251.128623,303156.862540,-93078.537039,306203.800780
389,-0.000175,334691.371342,0.000000,303251.128623,303156.862540,299513.992307,306203.800780
390,-0.000151,334643.952163,0.000000,303251.128623,303156.862540,-130979.637799,306203.800780
391,-0.000128,334596.669314,0.000000,303251.128623,303156.862540,223230.043183,306203.800780
392,-0.000127,334595.097768,0.000000,303251.128623,303156.862540,378391.312262,306203.800780
393,-0.000116,334571.714188,0.000000,303251.128623,303156.862540,-55355.399316,306203.800780
394,-0.000089,334518.862496,0.000000,303251.128623,303156.862540,-213899.422901,306203.800780
395,-0.000058,334455.436553,327321.977924,303251.128623,303156.862540,77.045947,306203.800780
396,-0.000052,334442.532929,0.000000,303251.128623,303156.862540,-66759.284989,306203.800780
397,-0.000042,334422.516908,0.000000,303251.128623,303156.862540,129047.599697,306203.800780
398,-0.000026,334390.264461,0.000000,303251.128623,303156.862540,85838.960890,306203.800780
