#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
34,-0.014153,185647.488642,0.000000,93642.128340,102512.834978,20127.775214,141479.644761
35,-0.014145,185619.908449,0.000000,93642.128340,102512.834978,2928.030591,141479.644761
36,-0.013916,184812.879716,0.000000,93642.128340,102512.834978,12538.967205,141479.644761
37,-0.013814,184452.275661,0.000000,93642.128340,102512.834978,-100885.755759,141479.644761
38,-0.013805,184421.372942,0.000000,93642.128340,102512.834978,50204.283117,141479.644761
39,-0.013792,184376.191582,110804.607384,93642.128340,102512.834978,-122934.494289,141479.644761
40,-0.013723,184130.593523,0.000000,93642.128340,102512.834978,58275.007479,141479.644761
41,-0.013609,183726.054440,0.000000,93642.128340,102512.834978,65331.827697,141479.644761
42,-0.013456,183184.080783,0.000000,93642.128340,102512.834978,56930.134451,141479.644761
43,-0.013361,182845.091462,0.000000,93642.128340,102512.834978,-18843.994923,141479.644761
44,-0.013335,182752.549005,0.000000,93642.128340,102512.834978,85934.743816,141479.644761
45,-0.013246,182434.364617,0.000000,93642.128340,102512.834978,-24034.475831,141479.644761
46,-0.013204,182283.292494,0.000000,93642.128340,102512.834978,86298.067711,141479.644761
47,-0.013161,182129.513675,0.000000,93642.128340,102512.834978,249913.632627,141479.644761
48,-0.013121,181988.202865,0.000000,93642.128340,102512.834978,12251.709609,141479.644761
49,-0.012949,181370.098848,0.000000,93642.128340,102512.834978,11562.923859,141479.644761
50,-0.012892,181165.856051,0.000000,93642.128340,102512.834978,165120.826862,141479.644761
51,-0.012888,181150.660650,0.000000,93642.128340,102512.834978,-124914.871203,141479.644761
52,-0.012862,181055.271449,0.000000,93642.128340,102512.834978,-64278.321314,141479.644761
53,-0.012716,180529.576322,0.000000,93642.128340,102512.834978,-80844.448333,141479.644761
54,-0.012714,180524.706071,110794.951304,93642.128340,102512.834978,39823.424784,141479.644761
55,-0.012705,180491.418962,0.000000,93642.128340,102512.834978,158506.709762,141479.644761
56,-0.012349,179200.300311,0.000000,93642.128340,102512.834978,-57688.177750,141479.644761
57,-0.012340,179169.016707,0.000000,93642.128340,102512.834978,22244.267795,141479.644761
58,-0.012317,179083.683090,0.000000,93642.128340,102512.834978,196577.590468,141479.644761
59,-0.012289,178981.304037,0.000000,93642.128340,102512.834978,-92412.986389,141479.644761
60,-0.012197,178646.748275,0.000000,93642.128340,102512.834978,-63918.315961,141479.644761
61,-0.012175,178567.250522,110790.121901,93642.128340,102512.834978,-9021.095958,141479.644761
62,-0.012132,178410.276424,0.000000,93642.128340,102512.834978,145635.469588,141479.644761
63,-0.012082,178226.741848,0.000000,93642.128340,102512.834978,-18783.819434,141479.644761
64,-0.011947,177733.698812,0.000000,93642.128340,102512.834978,-17922.724423,141479.644761
65,-0.011916,177618.012420,0.000000,93642.128340,102512.834978,-2494.077265,141479.644761
66,-0.011827,177292.075387,0.000000,93642.128340,102512.834978,106022.205182,141479.644761
67,-0.011819,177263.869721,0.000000,93642.128340,102512.834978,43159.954768,141479.644761
68,-0.011753,177020.064196,0.000000,93642.128340,102512.834978,-45570.249809,141479.644761
69,-0.011645,176620.369721,0.000000,93642.128340,102512.834978,-36944.070388,141479.644761
70,-0.011631,176569.192253,110785.246637,93642.128340,102512.834978,-9269.358082,141479.644761
71,-0.011620,176529.442235,0.000000,93642.128340,102512.834978,19553.576043,141479.644761
72,-0.011565,176326.046656,0.000000,93642.128340,102512.834978,108289.398168,141479.644761
73,-0.011453,175911.992086,0.000000,93642.128340,102512.834978,24561.500784,141479.644761
74,-0.011374,175616.635706,0.000000,93642.128340,102512.834978,27816.365552,141479.644761
75,-0.011369,175601.353558,0.000000,93642.128340,102512.834978,13832.363185,141479.644761
76,-0.011358,175557.279042,0.000000,93642.128340,102512.834978,24790.298818,141479.644761
77,-0.011172,174868.520528,0.000000,93642.128340,102512.834978,-249.573621,141479.644761
78,-0.011090,174560.888830,0.000000,93642.128340,102512.834978,-117239.364233,141479.644761
79,-0.011056,174433.404637,0.000000,93642.128340,102512.834978,209650.733533,141479.644761
80,-0.011011,174266.874531,0.000000,93642.128340,102512.834978,-1201.757873,141479.644761
81,-0.010992,174192.753242,0.000000,93642.128340,102512.834978,-6535.999841,141479.644761
82,-0.010915,173904.548340,0.000000,93642.128340,102512.834978,1152.240389,141479.644761
83,-0.010893,173822.951229,0.000000,93642.128340,102512.834978,171096.428750,141479.644761
84,-0.010784,173413.444956,0.000000,93642.128340,102512.834978,-145628.511838,141479.644761
85,-0.010511,172386.829249,0.000000,93642.128340,102512.834978,73018.381413,141479.644761
86,-0.010500,172343.434097,0.000000,93642.128340,102512.834978,47183.551383,141479.644761
87,-0.010438,172107.959970,0.000000,93642.128340,102512.834978,-1315.196058,141479.644761
88,-0.010296,171571.315772,0.000000,93642.128340,102512.834978,38515.018190,141479.644761
89,-0.010247,171383.758103,0.000000,93642.128340,102512.834978,81724.791516,141479.644761
90,-0.010170,171089.593482,0.000000,93642.128340,102512.834978,17964.654208,141479.644761
91,-0.010138,170969.449611,0.000000,93642.128340,102512.834978,-73477.423773,141479.644761
92,-0.010077,170735.893315,0.000000,93642.128340,102512.834978,39331.289084,141479.644761
93,-0.009995,170420.980338,0.000000,93642.128340,102512.834978,-145315.460455,141479.644761
94,-0.009942,170218.236723,0.000000,93642.128340,102512.834978,-123057.117671,141479.644761
95,-0.009876,169968.616932,0.000000,93642.128340,102512.834978,141226.155413,141479.644761
96,-0.009873,169955.389333,0.000000,93642.128340,102512.834978,-38539.985183,141479.644761
97,-0.009830,169789.729131,0.000000,93642.128340,102512.834978,-28705.384524,141479.644761
98,-0.009811,169719.375512,110768.949579,93642.128340,102512.834978,-34240.530256,141479.644761
99,-0.009799,169673.278519,0.000000,93642.128340,102512.834978,-13422.349321,141479.644761
100,-0.009641,169064.130108,0.000000,93642.128340,102512.834978,-119878.485414,141479.644761
101,-0.009618,168974.693275,0.000000,93642.128340,102512.834978,-59593.591865,141479.644761
102,-0.009583,168839.769996,0.000000,93642.128340,102512.834978,-54457.376434,141479.644761
103,-0.009525,168614.147583,0.000000,93642.128340,102512.834978,11715.881866,141479.644761
104,-0.009523,168609.392990,0.000000,93642.128340,102512.834978,34879.492961,141479.644761
105,-0.009502,168525.702935,110766.175579,93642.128340,102512.834978,-22652.189061,141479.644761
106,-0.009445,168305.383968,0.000000,93642.128340,102512.834978,-97621.858056,141479.644761
107,-0.009344,167914.936719,0.000000,93642.128340,102512.834978,-101372.124388,141479.644761
108,-0.009291,167708.144138,0.000000,93642.128340,102512.834978,-30209.848883,141479.644761
109,-0.009283,167675.645134,0.000000,93642.128340,102512.834978,222040.096068,141479.644761
110,-0.009282,167675.280365,110764.211211,93642.128340,102512.834978,185833.446712,141479.644761
111,-0.009260,167587.681206,0.000000,93642.128340,102512.834978,18423.414239,141479.644761
112,-0.009258,167579.279181,0.000000,93642.128340,102512.834978,20278.978012,141479.644761
113,-0.009146,167143.656135,0.000000,93642.128340,102512.834978,11454.186031,141479.644761
114,-0.009106,166987.794063,0.000000,93642.128340,102512.834978,-37491.857612,141479.644761
115,-0.009095,166945.249165,0.000000,93642.128340,102512.834978,-46972.364293,141479.644761
116,-0.009014,166626.724930,0.000000,93642.128340,102512.834978,-55627.809200,141479.644761
117,-0.008991,166537.300835,0.000000,93642.128340,102512.834978,16654.084301,141479.644761
118,-0.008935,166320.915396,0.000000,93642.128340,102512.834978,42018.422429,141479.644761
119,-0.008881,166105.796590,0.000000,93642.128340,102512.834978,63383.076735,141479.644761
120,-0.008861,166027.796801,0.000000,93642.128340,102512.834978,72056.839732,141479.644761
121,-0.008824,165884.273101,0.000000,93642.128340,102512.834978,121060.011882,141479.644761
122,-0.008806,165814.176868,0.000000,93642.128340,102512.834978,-104866.333946,141479.644761
123,-0.008762,165637.972191,110759.545716,93642.128340,102512.834978,6205.646395,141479.644761
124,-0.008760,165632.586116,0.000000,93642.128340,102512.834978,7310.869325,141479.644761
125,-0.008719,165468.380348,0.000000,93642.128340,102512.834978,68719.880916,141479.644761
126,-0.008686,165341.893410,0.000000,93642.128340,102512.834978,-109879.860975,141479.644761
127,-0.008671,165281.049037,0.000000,93642.128340,102512.834978,65603.230283,141479.644761
128,-0.008667,165265.998173,0.000000,93642.128340,102512.834978,27072.886694,141479.644761
129,-0.008656,165223.820433,0.000000,93642.128340,102512.834978,39803.868124,141479.644761
130,-0.008650,165197.477131,110758.544470,93642.128340,102512.834978,-38905.842454,141479.644761
131,-0.008649,165195.104799,0.000000,93642.128340,102512.834978,-47699.909181,141479.644761
