#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
68,0.602617,0.009951,0.034881,1142426.772491,1648849.886330,1783984.252988,1852540.738136,-257119.088190,2093807.545081
69,0.603313,-0.006302,-0.015255,1035882.800105,0.000000,1783984.252988,1852540.738136,-425760.267129,2093807.545081
70,0.605281,-0.011365,0.016044,1289212.997537,0.000000,1783984.252988,1852540.738136,575659.379476,2093807.545081
71,0.605850,0.000435,0.017584,1136456.522078,0.000000,1783984.252988,1852540.738136,59055.104299,2093807.545081
72,0.608843,-0.018298,0.020761,1457124.327598,0.000000,1783984.252988,1852540.738136,-424237.198131,2093807.545081
73,0.610845,0.014328,0.040377,1203304.182697,0.000000,1783984.252988,1852540.738136,-37759.734524,2093807.545081
74,0.611504,0.018689,0.013263,1232509.810941,0.000000,1783984.252988,1852540.738136,-193712.871798,2093807.545081
75,0.611798,-0.019515,-0.002320,1438778.241144,0.000000,1783984.252988,1852540.738136,1315793.901382,2093807.545081
76,0.614154,0.008510,0.013153,1138952.981621,0.000000,1783984.252988,1852540.738136,-21.615867,2093807.545081
77,0.616983,0.009248,0.030101,1182921.895179,0.000000,1783984.252988,1852540.738136,340597.513381,2093807.545081
78,0.618512,0.008702,0.024091,1179416.762276,0.000000,1783984.252988,1852540.738136,-579244.954624,2093807.545081
79,0.619879,0.000356,0.005208,1140173.714423,0.000000,1783984.252988,1852540.738136,-63472.772753,2093807.545081
80,0.622067,0.001253,0.013854,1173275.056366,1661647.492967,1783984.252988,1852540.738136,164664.466826,2093807.545081
81,0.622587,0.018955,0.019275,1285041.417715,0.000000,1783984.252988,1852540.738136,-1396809.110974,2093807.545081
82,0.624246,0.007390,0.030168,1198195.529354,0.000000,1783984.252988,1852540.738136,-429409.615526,2093807.545081
83,0.624791,-0.001518,0.017166,1210077.195208,0.000000,1783984.252988,1852540.738136,-347260.874360,2093807.545081
84,0.625055,-0.011994,-0.007162,1273394.481108,1663637.605831,1783984.252988,1852540.738136,14175.997788,2093807.545081
85,0.625085,0.016234,0.042591,1266070.207566,0.000000,1783984.252988,1852540.738136,255953.935911,2093807.545081
86,0.626152,-0.003803,-0.014438,1081803.539927,0.000000,1783984.252988,1852540.738136,454665.890960,2093807.545081
87,0.626186,-0.005871,0.012582,1251833.285832,0.000000,1783984.252988,1852540.738136,-277102.332563,2093807.545081
88,0.628756,0.002659,0.008043,1167571.268233,0.000000,1783984.252988,1852540.738136,-233137.550161,2093807.545081
89,0.630136,-0.001800,0.005508,1192065.692610,1667037.164056,1783984.252988,1852540.738136,391984.895517,2093807.545081
90,0.630585,0.003270,0.019753,1205760.682182,0.000000,1783984.252988,1852540.738136,424271.507760,2093807.545081
91,0.630617,0.007518,0.039359,1214925.523126,0.000000,1783984.252988,1852540.738136,134081.945240,2093807.545081
92,0.632843,0.014633,0.002531,1195657.154380,0.000000,1783984.252988,1852540.738136,540472.880748,2093807.545081
93,0.634711,-0.002470,0.020032,1254473.757387,0.000000,1783984.252988,1852540.738136,733223.833213,2093807.545081
94,0.634762,-0.008265,-0.007961,1225700.062833,0.000000,1783984.252988,1852540.738136,-1035243.433459,2093807.545081
95,0.635894,0.006479,0.009088,1187807.604846,0.000000,1783984.252988,1852540.738136,724495.196466,2093807.545081
