#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
697,0.029311,59392.397510,0.000000,92446.153672,98433.223691,0.000000,130922.570270
698,0.029382,58997.386873,0.000000,92446.153672,98433.223691,0.000000,130922.570270
699,0.029420,58784.843957,0.000000,92446.153672,98433.223691,0.000000,130922.570270
700,0.029427,58746.396616,0.000000,92446.153672,98433.223691,0.000000,130922.570270
701,0.029469,58512.738001,0.000000,92446.153672,98433.223691,0.000000,130922.570270
702,0.029561,57993.610931,0.000000,92446.153672,98433.223691,0.000000,130922.570270
703,0.029636,57572.544698,0.000000,92446.153672,98433.223691,0.000000,130922.570270
704,0.029658,57446.553979,0.000000,92446.153672,98433.223691,0.000000,130922.570270
705,0.029701,57203.388788,0.000000,92446.153672,98433.223691,0.000000,130922.570270
706,0.029731,57034.086957,0.000000,92446.153672,98433.223691,0.000000,130922.570270
707,0.029744,56961.855446,0.000000,92446.153672,98433.223691,0.000000,130922.570270
708,0.029812,56571.732340,0.000000,92446.153672,98433.223691,0.000000,130922.570270
709,0.029814,56564.246399,0.000000,92446.153672,98433.223691,0.000000,130922.570270
710,0.029845,56383.087707,123439.886604,92446.153672,98433.223691,0.000000,130922.570270
711,0.029854,56332.224302,0.000000,92446.153672,98433.223691,0.000000,130922.570270
712,0.029922,55946.789163,0.000000,92446.153672,98433.223691,0.000000,130922.570270
713,0.030011,55433.125335,0.000000,92446.153672,98433.223691,0.000000,130922.570270
714,0.030043,55249.138329,0.000000,92446.153672,98433.223691,0.000000,130922.570270
715,0.030103,54900.936861,0.000000,92446.153672,98433.223691,0.000000,130922.570270
716,0.030119,54807.015412,0.000000,92446.153672,98433.223691,0.000000,130922.570270
717,0.030263,53973.363902,0.000000,92446.153672,98433.223691,0.000000,130922.570270
718,0.030334,53554.404177,0.000000,92446.153672,98433.223691,0.000000,130922.570270
719,0.030441,52927.799903,0.000000,92446.153672,98433.223691,0.000000,130922.570270
720,0.030445,52901.991069,0.000000,92446.153672,98433.223691,0.000000,130922.570270
721,0.030457,52832.673953,0.000000,92446.153672,98433.223691,0.000000,130922.570270
722,0.030496,52602.315454,0.000000,92446.153672,98433.223691,0.000000,130922.570270
723,0.030559,52224.508994,0.000000,92446.153672,98433.223691,0.000000,130922.570270
724,0.030707,51345.703676,0.000000,92446.153672,98433.223691,0.000000,130922.570270
725,0.030714,51298.669888,0.000000,92446.153672,98433.223691,0.000000,130922.570270
726,0.030780,50901.357805,0.000000,92446.153672,98433.223691,0.000000,130922.570270
727,0.030844,50516.000576,0.000000,92446.153672,98433.223691,0.000000,130922.570270
728,0.030908,50129.800199,0.000000,92446.153672,98433.223691,0.000000,130922.570270
729,0.031004,49542.783769,0.000000,92446.153672,98433.223691,0.000000,130922.570270
730,0.031044,49298.562515,0.000000,92446.153672,98433.223691,118214.262681,130922.570270
731,0.031099,48961.333666,0.000000,92446.153672,98433.223691,0.000000,130922.570270
732,0.031111,48884.013825,0.000000,92446.153672,98433.223691,0.000000,130922.570270
733,0.031148,48656.182654,123417.090941,92446.153672,98433.223691,0.000000,130922.570270
734,0.031159,48589.255959,0.000000,92446.153672,98433.223691,0.000000,130922.570270
735,0.031167,48538.422440,0.000000,92446.153672,98433.223691,0.000000,130922.570270
736,0.031178,48467.586300,0.000000,92446.153672,98433.223691,0.000000,130922.570270
