#Sample,Regressor_0_USD,Regressor_1_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
318,0.791236,-0.011482,720294.107743,0.000000,653156.605559,686680.771158,-382863.662553,705674.475361
319,0.792008,0.007230,659180.712972,0.000000,653156.605559,686680.771158,-184530.378201,705674.475361
320,0.792317,0.015262,631111.935275,0.000000,653156.605559,686680.771158,476011.974605,705674.475361
321,0.793812,-0.030902,781444.588459,0.000000,653156.605559,686680.771158,74636.127054,705674.475361
322,0.794012,0.022753,605251.913668,0.000000,653156.605559,686680.771158,282127.044073,705674.475361
323,0.794280,0.018862,620010.556944,0.000000,653156.605559,686680.771158,-162028.400034,705674.475361
324,0.794552,0.002488,677789.328292,0.000000,653156.605559,686680.771158,-57547.364449,705674.475361
325,0.795401,0.002468,678661.436596,0.000000,653156.605559,686680.771158,148143.676326,705674.475361
326,0.795402,0.026215,593578.728319,0.000000,653156.605559,686680.771158,121978.518813,705674.475361
327,0.796974,0.030348,579233.819542,0.000000,653156.605559,686680.771158,41687.230385,705674.475361
328,0.797437,0.017190,629355.126264,0.000000,653156.605559,686680.771158,535706.418106,705674.475361
329,0.798618,0.018621,625365.225683,0.000000,653156.605559,686680.771158,125246.582016,705674.475361
330,0.800241,0.021603,616094.632363,669675.726639,653156.605559,686680.771158,-378092.364075,705674.475361
331,0.800469,0.047944,509699.303623,669755.158180,653156.605559,686680.771158,401901.454952,705674.475361
332,0.800498,0.006778,668942.449278,0.000000,653156.605559,686680.771158,221737.626041,705674.475361
333,0.801370,0.006657,670189.026138,670069.751487,653156.605559,686680.771158,307686.597864,705674.475361
334,0.801908,0.025177,604499.617353,0.000000,653156.605559,686680.771158,-1787.919218,705674.475361
335,0.802038,0.005313,675379.531308,0.000000,653156.605559,686680.771158,-237407.927453,705674.475361
336,0.802204,0.020309,622889.688412,0.000000,653156.605559,686680.771158,-18303.415848,705674.475361
337,0.802425,0.041041,542007.310451,0.000000,653156.605559,686680.771158,382935.396772,705674.475361
338,0.803324,0.017627,633764.724891,0.000000,653156.605559,686680.771158,-345640.149049,705674.475361
339,0.804168,-0.008317,721806.588609,0.000000,653156.605559,686680.771158,164453.334986,705674.475361
340,0.804508,-0.006194,715375.628829,0.000000,653156.605559,686680.771158,-673847.602972,705674.475361
341,0.805097,0.009244,664940.569008,0.000000,653156.605559,686680.771158,-40224.593073,705674.475361
342,0.805436,0.021464,621996.740166,0.000000,653156.605559,686680.771158,-34611.041397,705674.475361
343,0.806421,0.030476,589121.248479,0.000000,653156.605559,686680.771158,262391.330498,705674.475361
344,0.806674,0.014219,649225.923718,0.000000,653156.605559,686680.771158,-71050.581104,705674.475361
345,0.807167,-0.000618,699829.385499,672101.397970,653156.605559,686680.771158,210531.251188,705674.475361
346,0.807497,0.026610,605037.580310,0.000000,653156.605559,686680.771158,-31182.233414,705674.475361
347,0.807884,-0.007515,722578.685350,0.000000,653156.605559,686680.771158,270217.885669,705674.475361
348,0.808277,0.063063,448221.946074,0.000000,653156.605559,686680.771158,184815.034896,705674.475361
349,0.809035,0.013300,654765.169790,0.000000,653156.605559,686680.771158,-105498.982555,705674.475361
350,0.809314,0.002968,690051.219601,0.000000,653156.605559,686680.771158,323566.984029,705674.475361
351,0.809663,0.004758,684441.015621,0.000000,653156.605559,686680.771158,-293465.934274,705674.475361
352,0.810116,0.031543,589020.802096,0.000000,653156.605559,686680.771158,65539.577180,705674.475361
353,0.810222,0.030279,594007.456059,0.000000,653156.605559,686680.771158,-73939.198906,705674.475361
354,0.810809,0.020754,630092.943215,0.000000,653156.605559,686680.771158,-150893.923325,705674.475361
355,0.811260,-0.002920,710994.245018,0.000000,653156.605559,686680.771158,-134561.222942,705674.475361
356,0.813062,0.003647,691296.626753,0.000000,653156.605559,686680.771158,164681.870008,705674.475361
357,0.813292,0.028009,605915.856739,0.000000,653156.605559,686680.771158,-176937.597280,705674.475361
358,0.813591,0.024298,620026.211962,0.000000,653156.605559,686680.771158,7809.432384,705674.475361
359,0.813739,-0.003976,716595.071628,0.000000,653156.605559,686680.771158,-98013.487777,705674.475361
360,0.814053,0.009337,673220.194115,0.000000,653156.605559,686680.771158,-23781.220379,705674.475361
361,0.815770,0.008655,677155.948393,0.000000,653156.605559,686680.771158,-38666.026605,705674.475361
362,0.816901,0.035068,582743.810277,0.000000,653156.605559,686680.771158,15464.324900,705674.475361
363,0.817005,-0.028805,794283.412066,0.000000,653156.605559,686680.771158,870243.894675,705674.475361
364,0.817216,-0.004657,721859.358838,0.000000,653156.605559,686680.771158,78935.818390,705674.475361
365,0.817529,0.009937,674502.539085,0.000000,653156.605559,686680.771158,-190657.799150,705674.475361
366,0.817763,0.031838,596174.439271,0.000000,653156.605559,686680.771158,-575603.871272,705674.475361
367,0.817846,0.027093,614132.915538,0.000000,653156.605559,686680.771158,-132262.804047,705674.475361
368,0.818203,0.029429,605778.823062,0.000000,653156.605559,686680.771158,-305968.430289,705674.475361
369,0.819763,0.010672,674148.988628,676560.970490,653156.605559,686680.771158,-447789.546761,705674.475361
370,0.820597,0.018658,647413.109993,0.000000,653156.605559,686680.771158,-99531.079190,705674.475361
371,0.822305,0.032309,599257.894666,0.000000,653156.605559,686680.771158,186238.756623,705674.475361
372,0.822725,0.022719,635107.244149,0.000000,653156.605559,686680.771158,-83830.253812,705674.475361
373,0.823009,0.023453,632759.292747,0.000000,653156.605559,686680.771158,-56427.479218,705674.475361
374,0.823971,0.021693,640031.128228,0.000000,653156.605559,686680.771158,20831.786074,705674.475361
375,0.824044,0.022610,636832.149258,0.000000,653156.605559,686680.771158,192230.682407,705674.475361
376,0.824639,-0.011417,749283.914782,0.000000,653156.605559,686680.771158,133309.909913,705674.475361
377,0.824997,0.003457,702912.554905,0.000000,653156.605559,686680.771158,-56230.464830,705674.475361
378,0.825034,0.018874,651042.034043,0.000000,653156.605559,686680.771158,-198133.221588,705674.475361
379,0.825619,0.003206,704292.185712,0.000000,653156.605559,686680.771158,608022.413249,705674.475361
380,0.826362,-0.003845,727407.987666,0.000000,653156.605559,686680.771158,-58337.600972,705674.475361
381,0.826859,0.003060,705893.754146,0.000000,653156.605559,686680.771158,-16202.446015,705674.475361
382,0.827577,0.035024,594564.055721,0.000000,653156.605559,686680.771158,74747.844878,705674.475361
383,0.828393,0.003826,704816.810440,0.000000,653156.605559,686680.771158,-125769.609884,705674.475361
384,0.829086,0.033779,600930.076888,0.000000,653156.605559,686680.771158,-502427.569469,705674.475361
385,0.829115,0.010488,683612.677162,0.000000,653156.605559,686680.771158,132738.944839,705674.475361
386,0.829503,-0.001933,724185.323856,0.000000,653156.605559,686680.771158,173927.744416,705674.475361
387,0.829796,-0.001006,721520.991032,0.000000,653156.605559,686680.771158,-641872.831512,705674.475361
388,0.829920,0.028782,620458.969592,0.000000,653156.605559,686680.771158,268248.488279,705674.475361
389,0.830566,0.006479,698184.578103,0.000000,653156.605559,686680.771158,224468.237952,705674.475361
390,0.830613,0.011324,682228.616382,0.000000,653156.605559,686680.771158,401174.912273,705674.475361
391,0.831070,-0.001635,724636.033272,0.000000,653156.605559,686680.771158,-809065.864011,705674.475361
392,0.831193,0.018981,656719.487487,0.000000,653156.605559,686680.771158,-372213.169498,705674.475361
393,0.831310,0.021272,648834.927787,0.000000,653156.605559,686680.771158,-152655.661156,705674.475361
394,0.831319,0.015861,667579.742267,0.000000,653156.605559,686680.771158,162742.048465,705674.475361
395,0.831790,0.052504,528425.923107,680875.469916,653156.605559,686680.771158,100967.503379,705674.475361
396,0.832018,0.017842,661461.771122,680957.657600,653156.605559,686680.771158,-98694.064097,705674.475361
397,0.833726,0.018867,659582.835589,0.000000,653156.605559,686680.771158,26427.657646,705674.475361
398,0.833831,0.005932,702957.611908,0.000000,653156.605559,686680.771158,224977.677681,705674.475361
399,0.835178,0.020607,654970.192727,0.000000,653156.605559,686680.771158,-197433.144073,705674.475361
400,0.835513,0.038153,591130.453666,0.000000,653156.605559,686680.771158,221254.142305,705674.475361
401,0.835538,-0.016001,772217.425837,0.000000,653156.605559,686680.771158,35632.667244,705674.475361
402,0.835717,0.009008,694658.166270,0.000000,653156.605559,686680.771158,3715.926033,705674.475361
403,0.835745,0.040901,580692.187642,0.000000,653156.605559,686680.771158,-93227.296097,705674.475361
404,0.835986,0.034933,603919.324166,0.000000,653156.605559,686680.771158,360277.853626,705674.475361
405,0.836464,0.013394,680821.709357,0.000000,653156.605559,686680.771158,-29350.524149,705674.475361
406,0.837571,-0.012951,764871.797996,0.000000,653156.605559,686680.771158,-403817.520115,705674.475361
407,0.837609,0.028497,629397.887850,0.000000,653156.605559,686680.771158,2997.756631,705674.475361
408,0.837694,-0.007835,749578.676099,0.000000,653156.605559,686680.771158,-312616.039553,705674.475361
409,0.837732,0.018495,664751.504554,0.000000,653156.605559,686680.771158,52212.296590,705674.475361
410,0.837866,-0.016741,776327.053321,0.000000,653156.605559,686680.771158,-91598.043397,705674.475361
411,0.838570,0.018532,665434.491797,0.000000,653156.605559,686680.771158,276858.920384,705674.475361
412,0.839574,0.038320,594884.754345,683696.925139,653156.605559,686680.771158,75076.956155,705674.475361
413,0.840066,0.023214,650676.403599,0.000000,653156.605559,686680.771158,15858.818830,705674.475361
414,0.840897,0.031941,620215.606946,684178.525010,653156.605559,686680.771158,46725.618985,705674.475361
415,0.841572,0.020997,659864.356735,0.000000,653156.605559,686680.771158,-408604.904872,705674.475361
416,0.842303,0.013669,685391.738009,0.000000,653156.605559,686680.771158,268032.096818,705674.475361
417,0.842498,0.015436,679674.632347,0.000000,653156.605559,686680.771158,-425581.936108,705674.475361
418,0.842599,0.039719,592786.513598,0.000000,653156.605559,686680.771158,-176784.689367,705674.475361
419,0.843043,-0.008017,754696.989670,0.000000,653156.605559,686680.771158,266597.608514,705674.475361
420,0.844120,0.059025,515115.137338,685354.777786,653156.605559,686680.771158,627268.811834,705674.475361
421,0.844732,0.028361,637110.955259,0.000000,653156.605559,686680.771158,-160678.248780,705674.475361
422,0.844928,0.038459,600108.662296,0.000000,653156.605559,686680.771158,-4529.224644,705674.475361
423,0.845567,0.017144,676840.443123,0.000000,653156.605559,686680.771158,-42093.388029,705674.475361
424,0.845785,0.032287,623993.803750,0.000000,653156.605559,686680.771158,494043.136062,705674.475361
425,0.846921,-0.009686,762990.200738,0.000000,653156.605559,686680.771158,238723.591200,705674.475361
426,0.847686,0.037691,605951.011744,0.000000,653156.605559,686680.771158,233796.132231,705674.475361
427,0.848635,-0.001623,740001.162952,0.000000,653156.605559,686680.771158,-194904.355381,705674.475361
428,0.849388,0.021156,666882.668895,687286.036232,653156.605559,686680.771158,-259194.819075,705674.475361
429,0.849474,0.007686,711509.034648,0.000000,653156.605559,686680.771158,87264.878691,705674.475361
430,0.849869,0.002631,727870.150444,0.000000,653156.605559,686680.771158,-313914.266777,705674.475361
431,0.850399,0.034459,620798.510564,0.000000,653156.605559,686680.771158,-433679.263361,705674.475361
432,0.850860,0.023541,660116.177751,0.000000,653156.605559,686680.771158,-155081.521787,705674.475361
433,0.850921,0.001973,730854.803198,0.000000,653156.605559,686680.771158,-156611.216792,705674.475361
434,0.850998,0.025668,652864.149846,0.000000,653156.605559,686680.771158,240152.140902,705674.475361
435,0.851384,0.004859,722210.513416,0.000000,653156.605559,686680.771158,275045.441602,705674.475361
436,0.851480,0.024538,657268.328322,0.000000,653156.605559,686680.771158,-500886.766975,705674.475361
437,0.851829,-0.000148,738227.953110,0.000000,653156.605559,686680.771158,-102999.236397,705674.475361
438,0.852726,0.008068,713218.407345,0.000000,653156.605559,686680.771158,-284709.536707,705674.475361
439,0.852890,0.031025,635803.049333,0.000000,653156.605559,686680.771158,50917.771953,705674.475361
440,0.853942,0.037361,613770.229657,0.000000,653156.605559,686680.771158,328970.296696,705674.475361
441,0.854037,0.004613,725338.950964,0.000000,653156.605559,686680.771158,-434042.723145,705674.475361
442,0.854192,0.009418,710220.150847,0.000000,653156.605559,686680.771158,-243156.244136,705674.475361
443,0.854336,-0.007758,763473.330608,0.000000,653156.605559,686680.771158,-191801.824986,705674.475361
444,0.854912,0.005363,723752.489519,0.000000,653156.605559,686680.771158,105256.152204,705674.475361
445,0.855127,0.034522,625443.290196,0.000000,653156.605559,686680.771158,33111.317415,705674.475361
446,0.856451,0.017647,685419.549799,0.000000,653156.605559,686680.771158,568093.907542,705674.475361
447,0.856516,0.014941,694420.293080,0.000000,653156.605559,686680.771158,-196194.059265,705674.475361
448,0.856671,0.024408,662770.354592,0.000000,653156.605559,686680.771158,362297.081890,705674.475361
449,0.857159,0.034461,627745.033162,0.000000,653156.605559,686680.771158,15242.798358,705674.475361
450,0.857291,0.020372,677096.382585,0.000000,653156.605559,686680.771158,213766.618005,705674.475361
451,0.858297,-0.007950,767369.141998,0.000000,653156.605559,686680.771158,164288.127470,705674.475361
452,0.858305,-0.015028,788116.038180,0.000000,653156.605559,686680.771158,-58741.843541,705674.475361
453,0.858961,0.025313,661876.599496,0.000000,653156.605559,686680.771158,139320.665204,705674.475361
454,0.859076,-0.001337,748135.823767,0.000000,653156.605559,686680.771158,147787.669263,705674.475361
455,0.859425,0.020168,679801.394756,0.000000,653156.605559,686680.771158,565083.224066,705674.475361
456,0.860418,0.029802,647679.894196,691361.546976,653156.605559,686680.771158,83169.338333,705674.475361
457,0.860595,0.021484,676483.877829,691427.293302,653156.605559,686680.771158,-104006.447489,705674.475361
458,0.861197,0.026969,658334.492928,0.000000,653156.605559,686680.771158,469504.018103,705674.475361
459,0.861270,0.035669,627564.319250,0.000000,653156.605559,686680.771158,165437.513144,705674.475361
460,0.861376,0.013185,704603.475835,0.000000,653156.605559,686680.771158,-260745.450759,705674.475361
461,0.861505,0.047781,582177.557834,0.000000,653156.605559,686680.771158,-168665.877035,705674.475361
462,0.861740,-0.010796,778620.172776,0.000000,653156.605559,686680.771158,-1083946.259513,705674.475361
463,0.861763,0.026332,661083.840689,0.000000,653156.605559,686680.771158,93721.324953,705674.475361
464,0.862448,0.036228,626741.550605,692116.228610,653156.605559,686680.771158,114284.007837,705674.475361
465,0.863175,0.006942,726109.484910,0.000000,653156.605559,686680.771158,-477031.193189,705674.475361
466,0.863508,0.012505,708732.750427,0.000000,653156.605559,686680.771158,-161100.812239,705674.475361
467,0.863549,0.014944,700882.740158,0.000000,653156.605559,686680.771158,434521.568479,705674.475361
468,0.863714,0.039510,616009.424260,0.000000,653156.605559,686680.771158,-262487.908196,705674.475361
469,0.864166,0.002472,740865.946774,0.000000,653156.605559,686680.771158,338070.210158,705674.475361
470,0.864717,0.040407,613733.059924,0.000000,653156.605559,686680.771158,82966.472474,705674.475361
471,0.865008,0.014758,702821.810470,0.000000,653156.605559,686680.771158,-384694.734332,705674.475361
472,0.865872,0.020808,683733.836491,0.000000,653156.605559,686680.771158,395839.934411,705674.475361
473,0.866171,0.003539,739319.033684,0.000000,653156.605559,686680.771158,309465.291229,705674.475361
474,0.866421,0.040623,614712.873952,0.000000,653156.605559,686680.771158,-173715.570053,705674.475361
475,0.867933,-0.001161,755171.231118,0.000000,653156.605559,686680.771158,-184606.588627,705674.475361
476,0.867994,0.017818,695590.358010,0.000000,653156.605559,686680.771158,-55742.951523,705674.475361
477,0.868333,0.036555,631563.192423,0.000000,653156.605559,686680.771158,-33366.722511,705674.475361
478,0.868538,0.012323,713858.519766,0.000000,653156.605559,686680.771158,-284835.550822,705674.475361
479,0.868689,0.021789,683107.072719,694446.057105,653156.605559,686680.771158,343906.597844,705674.475361
480,0.869310,-0.016920,802424.255711,0.000000,653156.605559,686680.771158,241103.973385,705674.475361
481,0.869446,0.006037,734448.353123,0.000000,653156.605559,686680.771158,102230.971368,705674.475361
482,0.869625,0.011592,717163.591732,694796.688363,653156.605559,686680.771158,355399.673624,705674.475361
483,0.870020,0.012061,716023.502334,0.000000,653156.605559,686680.771158,25318.961578,705674.475361
484,0.870195,0.003742,742185.640934,0.000000,653156.605559,686680.771158,-133763.967496,705674.475361
485,0.870742,0.012255,716056.274132,0.000000,653156.605559,686680.771158,-387822.526072,705674.475361
486,0.870865,-0.001442,758504.940089,0.000000,653156.605559,686680.771158,219698.702263,705674.475361
487,0.871255,-0.002378,761640.890094,0.000000,653156.605559,686680.771158,-139867.915795,705674.475361
488,0.871718,0.055080,564603.244398,0.000000,653156.605559,686680.771158,-73464.657760,705674.475361
489,0.872275,0.031817,652329.735203,0.000000,653156.605559,686680.771158,-185245.316561,705674.475361
