#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
103,0.840755,1.291010,-0.000967,0.009258,0.010208,3082168.831373,0.000000,3123367.199325,3125613.409752,454226.607839,3046376.959391
104,0.840765,1.279082,-0.000949,0.007595,0.004757,3195992.598513,0.000000,3123367.199325,3125613.409752,-1604392.262887,3046376.959391
105,0.841031,1.221141,0.000057,0.009101,0.007146,3084230.636287,0.000000,3123367.199325,3125613.409752,-60147.557870,3046376.959391
106,0.841041,1.285873,0.001897,0.010274,0.006490,3158216.244419,0.000000,3123367.199325,3125613.409752,493267.338995,3046376.959391
107,0.841066,1.194491,-0.000488,0.005180,0.004166,3232076.246970,0.000000,3123367.199325,3125613.409752,-150004.361003,3046376.959391
108,0.841139,1.239410,0.001030,0.006650,0.004318,3256406.894713,0.000000,3123367.199325,3125613.409752,977200.351181,3046376.959391
109,0.841331,1.167490,-0.001963,0.007519,0.008858,3019552.989915,3125419.605810,3123367.199325,3125613.409752,-743896.238870,3046376.959391
110,0.841529,1.218072,0.003314,0.006657,0.011422,3227585.376058,0.000000,3123367.199325,3125613.409752,1075931.821184,3046376.959391
111,0.841529,1.218635,-0.001316,0.007268,0.008378,3103797.210207,0.000000,3123367.199325,3125613.409752,-1093866.805880,3046376.959391
112,0.841560,1.216252,-0.002793,0.010728,0.003813,2962985.106779,0.000000,3123367.199325,3125613.409752,764141.984376,3046376.959391
113,0.841689,1.277866,0.001033,0.011333,0.007345,3073676.240993,0.000000,3123367.199325,3125613.409752,-765044.620955,3046376.959391
114,0.841774,1.296127,-0.004852,0.005526,0.006646,3164281.255984,0.000000,3123367.199325,3125613.409752,517823.700438,3046376.959391
115,0.841809,1.198195,-0.004997,0.004937,0.005083,3107710.502200,0.000000,3123367.199325,3125613.409752,-272372.213060,3046376.959391
116,0.841872,1.195122,-0.001792,0.006279,0.004854,3145226.395182,0.000000,3123367.199325,3125613.409752,-885666.136444,3046376.959391
117,0.841877,1.219673,0.002032,0.005959,0.001799,3318146.731665,0.000000,3123367.199325,3125613.409752,72853.260433,3046376.959391
